id,logo_path,name,origin_country
12,/iaYpEp3LQmb8AfAtmTvpqd4149c.png,New Line Cinema,US
163,,Revolution Films,GB
63520,,Sony Pictures International Productions,US
56,/cEaxANEisCqeEoRvODv2dO1I0iI.png,Amblin Entertainment,US
7,/vru2SssLX3FPhnKZGtYw00pVIS9.png,DreamWorks Pictures,US
829,/mzpAmEQ5P1gFvdRoNyCk9q8ngiv.png,Vertigo Entertainment,US
126,/kADPanRDkKTxncPXXVahvHPUvCj.png,Lakeshore Entertainment,US
100855,,Kevin Downes Productions,
132437,,MEP Capital,US
19578,,Momentum Pictures,CA
103942,,Hamilton Entertainment,
2806,/vxOhCbpsRBh10m6LZ3HyImTYpPY.png,South Australian Film Corporation,AU
2520,,Arclight Films,US
119056,,Particular Crowd,US
8275,/sFEzEe5Rk5jjAEuiuPyXHvCGD9f.png,Spier Films,ZA
132439,,Enriched Media Group,GB
3870,/hZlf4rlzB913VrRzSED4NLPy0EM.png,Premiere Picture,GB
6833,,Footprint Films,GB
46339,,Beagle Pug Films,GB
7437,/e5CcgFrdlxMUwlsS72si8q1yHBr.png,IM Global,US
7576,/oYcUi1byZ312Z3xiz5ojz9RQLND.png,Eon Productions,GB
104972,/y1MOtyfXpKTZVJsSF2djhNqP1rd.png,Global Road Entertainment,
20656,,Babieka,
290,/Q8mw2AOQQc8Qg0uNwLWq86DVZv.png,Ingenious Media,GB
131913,,Whitebeard Films,
111025,,Bron Animation,
99476,,GEO Media,
20580,/tkFE81jJIqiFYPP8Tho57MXRQEx.png,Amazon Studios,US
73685,,Emmett Furla Oasis Films,US
65649,,SSS Entertainment,
130899,,SSS Film Capital,
3268,/tuomPhY2UtuPTqqFnKMVHvSb724.png,HBO,US
1694,,Darren Star Productions,
125092,,Don Kee Productions,
52738,,Jeff Rice Films,
117747,,Media Finance Capital,
37504,,Rhea Films,US
92336,/6Xc60wER3i1DfIBzIK1Ot7aI0EC.png,Sprockefeller Pictures,US
129701,,StoryBoard Media,US
5420,/dlW4Kh5dNieKNURnymsu57y6fMf.png,Color Force,US
88928,,Mighty Engine,US
128020,,Black Rabbit Media,
