id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline
12155,6.6,10148,Alice in Wonderland,"[10751, 14, 12]","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",26.8,en,2010-03-03,"[2, 16314, 598, 8601, 80]",http://disney.go.com/wonderland/,tt1014759,1025467110,You're invited to a very important date
269149,7.7,11652,Zootopia,"[16, 12, 10751, 35]","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",48.858999999999995,en,2016-02-11,"[6125, 2]",http://movies.disney.com/zootopia,tt2948356,1023784195,Welcome to the urban jungle.
49051,7.3,13518,The Hobbit: An Unexpected Journey,"[12, 14, 28]","Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",32.29,en,2012-11-26,"[174, 11, 12, 21]",http://www.thehobbit.com/,tt0903624,1021103568,From the smallest beginnings come the greatest legends.
155,8.4,22217,The Dark Knight,"[18, 28, 80, 53]","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",50.193999999999996,en,2008-07-16,"[429, 923, 9996, 118865, 9993, 174]",https://www.warnerbros.com/movies/dark-knight/,tt0468569,1004558444,Why So Serious?
8587,8.3,12359,The Lion King,"[10751, 16, 18]","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",35.141999999999996,en,1994-05-07,"[2, 6125]",http://movies.disney.com/the-lion-king,tt0110357,987483777,Life's greatest adventure is finding your place in the Circle of Life.
671,7.9,16876,Harry Potter and the Philosopher's Stone,"[12, 14, 10751]","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",75.577,en,2001-11-16,"[174, 437, 436]",https://www.warnerbros.com/movies/harry-potter-and-sorcerers-stone/,tt0241527,976475550,Let the Magic Begin.
93456,6.9,8303,Despicable Me 2,"[16, 35, 10751]",Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,34.738,en,2013-06-25,"[6704, 33]",http://www.despicableme.com/,tt1690953,970761885,Back 2 Work
278927,6.8,6035,The Jungle Book,"[12, 18, 10751, 14]","A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.",21.818,en,2016-04-07,"[2, 7297, 20478]",http://movies.disney.com/the-jungle-book-2016,tt3040964,966550600,The legend will never be the same.
353486,6.8,9276,Jumanji: Welcome to the Jungle,"[28, 12, 35, 14]","The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.",35.45,en,2017-12-09,"[350, 53462, 73669, 5, 34]",http://jumanjimovie.com,tt2283362,962102237,The game has evolved.
285,7.2,9767,Pirates of the Caribbean: At World's End,"[12, 14, 28]","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",26.561,en,2007-05-19,"[130, 19936, 2]",http://disney.go.com/disneypictures/pirates,tt0449088,961000000,"At the end of the world, the adventure begins."
57158,7.6,8911,The Hobbit: The Desolation of Smaug,"[12, 14, 28]","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",30.006999999999998,en,2013-12-11,"[174, 11, 12, 21]",http://www.thehobbit.com/,tt1170358,958400000,Beyond darkness... beyond desolation... lies the greatest danger of all.
122917,7.3,9769,The Hobbit: The Battle of the Five Armies,"[28, 12, 14]","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",60.29600000000001,en,2014-12-10,"[174, 11, 12, 7413, 21]",https://www.warnerbros.com/movies/hobbit-battle-five-armies/,tt2310332,956019788,Witness the defining chapter of the Middle-Earth saga
12444,7.8,12747,Harry Potter and the Deathly Hallows: Part 1,"[12, 14]","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",47.998999999999995,en,2010-10-17,"[174, 437]",https://www.warnerbros.com/movies/harry-potter-and-deathly-hallows-part-1/,tt0926084,954305868,One Way… One Fate… One Hero.
12,7.8,13507,Finding Nemo,"[16, 10751]","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",34.1,en,2003-05-30,[3],http://movies.disney.com/finding-nemo,tt0266543,940335536,There are 3.7 trillion fish in the ocean. They're looking for one.
675,7.7,12856,Harry Potter and the Order of the Phoenix,"[12, 14, 9648]","Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.",47.871,en,2007-06-28,"[174, 437]",https://www.warnerbros.com/movies/harry-potter-and-order-phoenix/,tt0373889,938212738,Evil Must Be Confronted.
767,7.7,12557,Harry Potter and the Half-Blood Prince,"[12, 14]","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",50.202,en,2009-07-07,"[174, 437]",https://www.warnerbros.com/movies/harry-potter-and-half-blood-prince/,tt0417741,933959197,Dark Secrets Revealed
809,7.0,7565,Shrek 2,"[12, 16, 35, 10751, 14]","Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",37.758,en,2004-05-19,"[521, 520, 7]",http://www.shrek2.com/,tt0298148,928760770,Once upon another time...
121,8.3,14628,The Lord of the Rings: The Two Towers,"[12, 14, 28]","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",43.92100000000001,en,2002-12-18,"[12, 11, 5237]",http://www.lordoftherings.net/,tt0167261,926287400,A New Power Is Rising.
