id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline,similar_movie_id
685705,0.0,0,EXO PLANET #5 – EXpℓØration in Japan,[10402],"EXO PLANET #5 – EXplOration is the fifth tour of South Korean-Chinese boy band EXO. This is a recording of one of the Yokohama, Japan concert dates, October 22nd or 23rd, 2019 at Yokohama Arena.",0.6,ko,2020-02-26,"[99961, 130799, 2788]",,,0,,"[701684, 568332, 373558, 611992, 20575, 563397, 132, 490001, 568300, 601667, 298075, 571607, 389545, 553512, 612000, 608136, 74860, 611291, 684705, 404354, 401443, 488118, 259471, 473564, 34513, 217139, 69262, 595770, 55160, 30098, 45038, 660209, 157560, 362741, 362725, 372274, 120821, 46501, 97448, 548531, 143557, 697000, 286782, 324409, 587236, 569976, 593982, 426472, 79154, 240471, 338977, 139979, 369158, 326030, 57833, 29757, 617574, 86419, 426355, 412771, 240551, 627381, 321091, 685987, 687543, 402215, 397914, 218807, 256045, 226975, 37957, 524683, 507982, 435408, 347777, 138542, 186637, 186748, 189033, 133914, 160884, 152038, 128337, 347530, 329012, 338993, 360659, 382812, 384718, 321340, 297235, 327635, 327721, 328079, 328179, 372416, 490730, 543056, 583298, 587239]"
685710,0.0,0,Léthé,[99],"On the island of Amorgos, during summer. Small monuments were erected at the scene of a fatal accident: a photograph, a few words, flowers, religious or pagan objects. The deceased ""stayed there"": dead in transit, on a road, frozen forever.",0.6,fr,2020-03-14,[26607],,,0,,"[458423, 10734, 11631, 177888, 13888, 19415, 4193, 27902, 38251, 347035, 389272, 452913, 28981, 71520, 375539, 163791, 332409, 26946, 225675, 32677, 40043, 366179, 183388, 288881, 198890, 389136, 48249, 301494, 379508, 313884, 33228, 275500, 453081, 296991, 344794, 485642, 332128, 395177, 48122, 301489, 419, 487440, 455022, 449227, 16994, 383458, 367431, 384002, 399583, 469414, 332703, 555218, 493592, 374021, 398608, 555091, 142807, 398233, 404996, 486879, 266280, 409870, 368462, 392162, 468939, 388473, 351506, 297564, 589639, 599832, 332115, 516323, 513714, 386999, 390918, 485573, 115453, 555084, 425503, 517350, 266239, 484650, 487580, 519069, 332124, 639040, 519235, 645789, 174540, 337989, 274052, 297497, 164356, 460323, 669341, 631982, 266288, 332308, 332712, 387994]"
685718,2.0,1,From the Ground,[18],"1975, Devon. Nine year old Jazmin Hughes goes missing. 15 years later, her body is found and her parents are thrown into grief once again.",1.306,en,2020-02-10,[],,tt6793972,0,,[]
685720,0.0,0,Drift Force - Beyond a Dream,[],,0.6,de,2020-03-07,[112671],,,0,,[]
685728,0.0,0,Attila's Forbidden Tomb,[99],"In the late 5th century, the fate of the Roman Empire, considered one of the world’s mightiest forces, hung in the balance as they faced a terrifying enemy – Attila. As new archeological evidence is uncovered for the first time, scientists may perhaps unearth the greatest discovery of all – Attila’s lost tomb.",0.655,en,2020-03-22,[],https://www.sciencechannel.com/tv-shows/attilas-forbidden-tomb/full-episodes/attilas-forbidden-tomb,,0,,[]
685733,0.0,0,L'Avenir le dira,[],"I met Pierre twenty-five years ago, when I set up my market stand next to his: he was selling poultry and eggs, me, flowers and honey. I asked his son, Arnaud, if I could follow them and film the flax harvesting.",0.6,fr,2020-03-14,[],,,0,,[]
685734,0.0,0,JA,[99],"Jacob, an elderly man living in a luxurious villa near Geneva called Rosebud, has just changed his name for the third time and become a Swiss citizen. His granddaughter comes to visit to make a portrait of him. As she searches for a way to bring his story to life, Jacob abandons the project…",0.6,fr,2020-03-13,[131012],http://www.elinkafilms.fr/index.php/en-production/rosebud/,,0,,"[16869, 424, 423, 637, 914, 760, 4978, 703, 496, 665, 303, 515001, 302349, 525, 89, 85, 2253, 11917, 388, 65754, 289, 65754, 693, 388, 438799, 2253, 1771, 289222, 203833, 1597, 4012, 25237, 12660, 284564, 13376, 1654, 2313, 10975, 339259, 186, 13813, 339397, 1245, 9075, 11931, 1646, 152760, 5925, 15764, 10784, 12700, 2576, 426618, 613, 13016, 12573, 659, 9443, 12900, 11046, 56895, 169881, 803, 13007, 290825, 1786, 17339, 8056, 339987, 10518, 15152, 821, 1716, 198, 10679, 598824, 8016, 307, 4967, 11787, 9045, 9899, 8996, 182, 340, 10412, 351339, 30197, 528949, 13042, 7862, 21489, 9393, 121873, 11372, 304357, 9017, 493551, 14451, 251516]"
685757,0.0,0,City of Two Springs,[99],"In 2017, Mosul was liberated after three years under IS control. The battle to reclaim the city had razed it to the ground and displaced thousands of civilians who are now trying to return home. Told through the parallel stories of Ala' and a senior UN figure leading international efforts to rebuild the city, this powerful film profiles the efforts to raise a city, and a people, from the rubble.",2.338,en,2020-03-19,[],,tt10579956,0,When life returns to Mosul,[]
685770,0.0,0,Pickles Luh,[16],Pickles is dying to say something.,0.681,en,2020-03-24,[],,,0,,[]
685771,0.0,0,Constellations,[],"The story of a couple entangled in string theory and their own relationships. An excursion to the quantum multiverse, where every action of the heroes, every decision they make, exists in all possible variants simultaneously.",0.6,ru,2020-03-22,[],,,0,,[]
685774,0.0,0,Sister's Secret Housemate,[10749],"Mi-jin and Mi-soo, move out and came to Seoul to find a job. Mi-jin who used to have a boyfriend, happened to know a building owner in Seoul, and the meeting with the landlord begins.  However, Mi-soo liked Mi-jin's ex-boyfriend, Ji-hwan, and she thinks it's her chance to seduce Ji-hwan to go out with her. The sisters and ex-boyfriend's secret live-in affair starts.",0.66,ko,2020-03-19,[],,,0,,[]
685775,0.0,0,Trauma Chameleon,[16],An escaped laboratory rat navigates through a sea of punctuation.,0.681,en,2020-03-24,[],,,0,,[]
685787,4.8,4,Coronavirus: The Silent Killer,[99],"It came without a warning. And it spreads like wildfire. To date, the novel coronavirus has killed more than 1200 people and infected more than 45000 others.",2.561,en,2020-03-18,[],,,0,,[]
685789,0.0,0,My Daughter Died. How Do I Introduce Her to My Son?,[16],"How do you explain tragedy to a 3-year-old? Close to five years ago, Jayson Greene and his wife, Stacy, lost their 2-year-old daughter, Greta, to a horrible accident. Fifteen months later, their son, Harrison, was born. Now that Harrison is growing up, he wants to know about his older sister.",0.6,en,2020-02-13,[],,,0,,[]
685808,0.0,0,Hysterical Girl,[99],"In 1900, Sigmund Freud began treating a 17-year old girl he called ""Dora."" Her parents brought her to therapy after she accused a family friend of sexual assault. Freud's account of his sessions with Dora was the only major case history he published of a female patient. Intercutting his published text with a scripted version told from Dora's point of view, Hysterical Girl revisits this landmark case. Woven throughout are several decades of cinema, Congressional hearings, and media coverage. What emerges is a portrait of the grip that Freud’s theory of hysteria has had on popular culture over the past century and into the present day.",0.655,en,2020-03-20,[131013],,tt11878978,0,,[]
685810,0.0,0,Michael Hatzius: Echsoterik,[],,0.6,de,2020-03-22,[],,,0,,[]
