id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline
664574,0.0,0,Silent Night,[35],An extended family come together for a Christmas dinner in the country.,3.935,en,2020-12-12,"[5374, 19640]",,tt11628854,0,
519056,0.0,0,The Glorias,"[18, 36]","An equal rights crusader, journalist and activist: Gloria Steinem embodies these and more. From her role in the revolutionary women's rights movement to her travels throughout the U.S. and around the world, Steinem has made an everlasting mark on modern history. A nontraditional chronicle of a trailblazing life.",3.505,en,2020-01-26,[76901],,tt7435316,0,
645439,0.0,0,Revue Starlight: Rondo Rondo Rondo,"[16, 16]",A compilation film recapping the TV series,3.195,ja,2020-05-29,[16738],https://cinema.revuestarlight.com/,,0,
590404,7.7,11,Chhapaak,[18],"A true story based on acid attack survivor Malti's (Laxmi Agarwal) grueling and glorious journey from her medical treatment, court proceedings leading to her emotional healing.",3.064,hi,2020-01-10,"[116340, 116341, 12154]",,tt9614460,0,
703178,0.0,0,Simon Leblanc : Malade,[35],,3.451,fr,2020-05-12,[],,,0,
652272,0.0,0,Solace,[18],,3.202,en,2020-05-12,"[125935, 30256]",,,0,
628241,6.7,21,Ala Vaikunthapurramuloo,"[28, 18]","Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.",5.543,te,2020-01-12,"[38582, 69898]",,tt9537292,28859072,
590009,7.3,2,Funhouse,[27],"When 8 celebrities from around the globe are invited to compete in an online reality show, they soon realize that they are playing for their very lives, as those voted off suffer horrific consequences, broadcast live to the entire world.",3.959,en,2020-02-13,"[116213, 82687, 116214]",,,0,
647808,0.0,0,This Nan's Life,[35],A film version of the popular Catherine Tate character 'Nan' and will focus on the backstory of the foul mouthed pensioner.,4.439,en,2020-06-19,[125252],,tt10398318,0,
542507,0.0,0,Princess Principal Crown Handler: Chapter 1,"[16, 28, 12, 18, 9648]",The first chapter of six-part film sequels for Princess Principal series.,3.313,ja,2020-04-10,"[528, 30125]",http://www.pripri-anime.jp/,tt8354164,0,
615643,8.0,1,Minari,[18],"It’s the 1980s, and David, a seven-year-old Korean American boy, is faced with new surroundings and a different way of life when his father, Jacob, moves their family from the West Coast to rural Arkansas. His mother, Monica, is aghast that they live in a mobile home in the middle of nowhere, and naughty little David and his sister are bored and aimless. When his equally mischievous grandmother arrives from Korea to live with them, her unfamiliar ways arouse David’s curiosity. Meanwhile, Jacob, hell-bent on creating a farm on untapped soil, throws their finances, his marriage, and the stability of the family into jeopardy.",3.032,en,2020-01-26,[81],,tt10633456,0,
662841,6.0,3,Sacrifice,[53],A entertainment lawyer navigates the nefarious lives of her rich and famous clients.,5.51,en,2020-01-02,[],,tt10806810,0,A entertainment lawyer navigates the nefarious lives of her rich and famous clients.
668343,4.1,9,Alien Outbreak,"[878, 27]","In a small rural community, local police officers Zoe and Patrick begin their shift as normal but soon, strange events unfold. Residents begin behaving erratically, and suicidal panic spreads amongst the township they are trying to protect. Zoe and Patrick realise alien machines are taking hold, cutting their small group of survivors off from the outside world. Can the determined humans band together to save their community, and all mankind, from extinction?",4.546,en,2020-02-11,[90027],,tt6409856,0,No One Gets Out
703193,0.0,0,We are in this apart,"[18, 35]","In ""Spaces #3"", 7 internationally acclaimed directors shot, after commissioning by the Thessaloniki International Film Festival, a short film at home, making their own timely comment on the new reality that we live in. The project is inspired by the book ""Species of Spaces"" by the French novelist, filmmaker, documentalist, and essayist, Georges Perec and the days of quarantine. The idea is to create a film at home, using the environment, the people or the animals in that space. The only outdoor areas that may be used are outdoor living spaces, such as the terrace, the garden, the balcony and the stairwell. ""We are in this apart"" is Yung Chang's submission.",3.195,en,2020-05-12,[],https://www.filmfestival.gr/en/stay-home/spaces3,,0,
615115,0.0,0,The Secrets We Keep,[53],"Maja rebuilds her life along with her husband in New York after World War II. When they encounter an eerily familiar man, their life starts to unravel as they wonder if he could be one of her chief tormentors as she fled from the Nazi occupation in WWII. Convinced that he is, Maja takes things into her own hands and kidnaps him, setting in motion a series of memories and events that will change her whole perception of the truth.",2.477,en,2020-09-30,"[110799, 435]",,tt9252488,0,
613362,6.4,11,Mine de rien,[35],,3.386,fr,2020-02-26,"[15433, 11620, 119303, 58668]",,tt9568486,0,
682105,0.0,0,Prehistoric Worlds,[99],"Five times, Earth has faced apocalyptic events that swept nearly all life from the face of the planet. What did these prehistoric creatures look like? What catastrophes caused their disappearance? And how did our distant ancestors survive and give rise to the world we know today?",4.066,en,2020-03-01,[96320],,,0,
691247,0.0,0,I Dream of Peace,"[18, 14]",A young man fearing death because of a pandemic gets a visit from a voice who tells and shows him the beauty of life.,3.866,en,2020-05-10,[],,,0,EMBRACE THE WORLD THAT YOU FEAR.
245842,0.0,0,The King's Daughter,"[14, 28, 12]","King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",3.253,en,2020-09-05,"[17393, 4]",,tt2328678,0,What on Earth Can Hold More Power Than a King?
671652,7.4,19,Taylor Tomlinson: Quarter-Life Crisis,[35],"Comedian Taylor Tomlinson is halfway through her 20s — and she's over it. From dating losers to a failed engagement, she takes aim at her life choices.",4.39,en,2020-03-03,[],,tt11738792,0,
702920,0.0,0,The Disney Family Singalong: Volume II,"[10751, 14, 10402]","Ryan Seacrest hosts the second Disney Family Singalong featuring celebrities and their families as they take on their favorite Disney tunes from their homes. Special guests include John Legend, Christina Aguilera, Shakira, and Katy Perry.",3.863,en,2020-05-10,"[84284, 133759, 133761, 670]",https://disneyparks.disney.go.com/blog/2020/04/disneymagicmoments-the-disney-family-singalong-volume-ii-to-air-this-mothers-day-on-abc/,tt12249388,0,
585530,0.0,0,Showbiz Kids,[99],"A documentary about the highs and lows of children in show business, featuring interviews and examinations of the lives and careers of the most famous former child actors in the world.",3.74,en,2020-01-25,"[14914, 3268, 107911, 55571, 115425]",,tt3197274,0,
664425,10.0,1,Alone,[53],"""Alone"" follows a writer seeking peace and solitude in the countryside in an attempt to recover from tragedy and finish her book. However, as the welcoming country house turns into a living hell, she soon realizes that her inner demons are not the worst of her problems.",5.432,en,2020-01-17,[127920],,tt10332854,0,
660649,10.0,1,Ghost Stories of Extreme Taoist,"[10749, 14]",Coming Soon,4.494,zh,2020-01-03,[],,,0,
699465,0.0,0,Algorithm: BLISS,[],"Vic Beckett, a brilliant researcher, creates the ultimate App that taps into the pleasure center of the brain and transmits a feeling of nirvana to the user.",5.15,en,2020-06-02,[],,tt3212608,0,Euphoria That Kills
680945,6.0,2,Retreat to Paradise,"[10749, 10770]",,5.4,en,2020-03-19,[6343],,tt11192714,0,
680382,7.4,6,The Skywalker Legacy,[99],The story lives forever in this feature-length documentary that charts the making of Star Wars: The Rise of Skywalker.,2.311,en,2020-03-18,[],,tt11975230,0,
664301,0.0,0,I Used to Go Here,"[18, 35, 10749]","Following the launch of her new novel, 35-year-old writer Kate Conklin (Gillian Jacobs) is invited to speak at her alma matter by her mentor and former professor (Jemaine Clement). After accepting the invitation, Kate finds herself deeply enmeshed in the lives of an eccentric group of college students.",4.16,en,2020-12-31,"[75355, 121204, 130900, 41735, 113319, 65649, 130899, 114131]",,tt10887902,0,
615943,0.0,0,All of This Is Gone,[18],"In the end, one is dead and the others are alone, although the truth is that they were already alone long before his death. Now all of this is gone and there is no point in looking back.",2.306,pt,2020-06-01,[],https://www.osobressalto.com/p/passou.html,tt10649596,0,
704373,0.0,0,Bernie Blackout,[99],"Pulls back the curtain to expose the corruption and bias that's rampant in mainstream media's coverage of presidential elections, and takes a hard look at a new generation and their relationship with news and politics.",4.614,en,2020-05-13,[13633],https://www.vicetv.com/en_us/video/bernie-blackout/5ea88f7e406fa056aa3d4eab,tt12300682,0,An investigative deep dive into the corporate news media’s coverage of Bernie Sanders’ 2020 presidential campaign that asks: who actually gets a say in American politics?
704295,0.0,0,Decoding COVID-19,[99],"The coronavirus SARS-CoV-2 has upended life as we know it in a matter of mere months. But at the same time, an unprecedented global effort to understand and contain the virus—and find a treatment for the disease it causes—is underway. Join the doctors on the front lines of the fight against COVID-19 as they strategize to stop the spread, and meet the researchers racing to develop treatments and vaccines. Along the way, discover how this devastating disease emerged, what it does to the human body, and why it exploded into a pandemic.",3.864,en,2020-05-13,[],,,0,
704269,0.0,0,Skull: The Mask,"[27, 14]",The story of an ancient mask that possesses the human form to commit visceral sacrifices of vengeance for the incarnation of its God.,5.379,es,2020-05-22,"[74774, 93980, 133890, 25884]",,tt8447170,0,A killer hunt for revenge.
704216,0.0,0,attractions,[99],"The gaze in ""attractions"" is focused on the animals. Any human activity seems strange. It forces its way into the otherwise equable way of life at Gori Park, ultimately calling into question the way humans constantly take it for granted that they are above nature.",4.215,xx,2020-05-14,[133887],,,0,short documentary set in a park in georgia
704148,8.0,1,You are Next,[53],A teenager is stalked by another teen who says he is next.,3.643,es,2020-05-13,[],,,0,You are next
704119,0.0,0,Causality and Meaning,[],,3.613,de,2020-05-13,[],,,0,
704078,0.0,0,Dark Figure,[],"In August 1984 a house inhabited by migrant workers was burnt down in Duisburg, killing seven members of a family. While the police immediately ruled out racism as a reason, the survivors continue to doubt that it was a coincidence that their house was set on fire.",3.613,de,2020-05-13,[],,,0,
704056,10.0,1,UFC Fight Night 171 Prelims,[28],135 lbs.: Sijara Eubanks vs. Sarah Moras  155 lbs.: Gabriel Benitez vs. Omar Morales  145 lbs.: Hunter Azure vs. Brian Kelleher  265 lbs.: Chase Sherman vs. Ike Villanueva,4.143,en,2020-05-13,[127956],https://www.ufc.com,,0,
704052,0.0,0,When Heroes Fail,[12],The story of a young girl.,4.464,en,2020-05-14,[133791],https://mysoulmatetv.com,,0,
704016,0.0,0,Red,[],Feride is forced into marriage at the age of 15. She discovers all the bad things happen to her have correlation with the red colour.,3.863,tr,2020-05-13,[],,tt12314934,0,
703929,0.0,0,Freeway to Hell,"[28, 35, 80]","Lost motorbike gang film. ""Freeway to Hell,"" A shocking and wrenchingly violent morality tale in which a technological worker quits his job, joins a gang, and takes a wild ride through a seedy underworld of rowdy men, wild women, and motorbikes.",3.613,en,2020-05-13,[133853],,,0,
703781,0.0,0,Cassandra,[27],"Do you remember? Last summer, Illinois was confronting a series of bizarre murders. At each crime scene, police found a sketch of a house which turned out to be the location of the next murder. But detectives couldn't identify the houses in time, and the murders continued, becoming more violent until someone recognizes the latest sketch as the old Wilson farm up in Monroe. As we open, a policewoman named Crawley is being interviewed by an unseen authority figure. She tries to remember what exactly happened at the Wilson farm. She explains she was patrolling in the area and went there quickly, intending to find out what the owner knew and get him out. Instead. . . what happened was. . . if only she could remember. . .",4.364,en,2020-05-13,[],https://institutionalqualityproductions.com/cassandra,tt6478994,0,When memories can't be trusted. . . until they have to be.
